id,name,hazardous,absolute_magnitude,diameter_min_m,diameter_max_m,diameter_avg_m,size_category,close_approach_date,year,month,day,velocity_kmh,velocity_kps,miss_distance_km,miss_distance_ld,very_close,risk_score,impact_energy,orbiting_body,nasa_jpl_url,risk_rank
3825135,(2018 LV2),False,25.3,23.150212221,51.7654482198,37.4578302204,Small,2025-02-21,2025,2,21,37475.9521001186,10.4099866945,43476378.81357977,113.0518192437,False,0.032288058238089064,2847726021854.729,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3825135,1177.0
3435023,(2008 UB95),False,24.8,29.1443904535,65.1688382168,47.156614335149996,Small,2025-02-20,2025,2,20,79385.8164954934,22.0516156932,65360740.66566144,169.9578217186,False,0.05727545762231131,25496389508116.62,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3435023,952.0
3599931,(2012 DV32),False,21.8,116.0259082094,259.4418179074,187.7338630584,Medium,2025-02-20,2025,2,20,26286.0539369595,7.3016816492,29453387.214127004,76.5877724482,False,0.16754549873231406,176377686907124.0,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3599931,603.0
3740096,(2016 AX165),False,23.13,62.8861455592,140.6176963133,101.75192093625,Medium,2025-02-20,2025,2,20,33088.6463879334,9.1912906633,5724654.196436713,14.8858435111,False,0.5881286826457054,44499061904427.96,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3740096,286.0
3745060,(2016 ET1),False,28.9,4.411182,9.8637028131,7.13744240655,Small,2025-02-20,2025,2,20,14823.7380741109,4.1177050206,9170110.852316923,23.8450796228,False,0.011537873255590645,3082537145.87995,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3745060,1501.0
3989813,(2020 CX1),False,24.13,39.6784754066,88.7237682527,64.20112182964999,Medium,2025-02-20,2025,2,20,24798.8592194701,6.8885720054,17238026.515797023,44.8241162434,False,0.09236060639113858,6278505220414.163,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3989813,780.0
2798099,798099 (2012 DV32),False,21.79,116.5614594686,260.6393469284,188.6004031985,Medium,2025-02-20,2025,2,20,26286.0539683215,7.3016816579,29453387.214127004,76.5877724482,False,0.16831885381743547,178831345371387.25,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2798099,600.0
3520662,(2010 JR34),False,27.7,7.6657557353,17.1411509231,12.4034533292,Small,2025-02-28,2025,2,28,13306.1681679635,3.6961578244,15545534.453067813,40.4231216811,False,0.01061671030739325,13034634842.738895,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3520662,1526.0
3653537,(2013 VO5),True,21.36,142.0872067277,317.7166529762,229.90192985195,Medium,2025-02-28,2025,2,28,103509.0427276256,28.7525118688,27094717.360950854,70.4545128444,False,0.8782866550401968,5022841081883423.0,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3653537,199.0
3713289,(2015 FF),False,26.6,12.7219878539,28.4472296503,20.5846087521,Small,2025-02-28,2025,2,28,73320.3676653394,20.3667687959,54539057.65991066,141.8181517538,False,0.027673215246264447,1809014806488.4292,Earth,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3713289,1240.0
